variant,physical_lut,primitive_cells,direct_modules,endpoint_modules,classification
LUT218,SLICE_X10Y86/ALUT,board_demo_comp_LUT6_31,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X10Y86/BLUT,board_demo_comp_LUT6_41,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X11Y81/ALUT,board_demo_comp_LUT2_8,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X11Y81/BLUT,board_demo_comp_LUT2_9,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X11Y82/ALUT,filter_saturation_pending_i_1;u_stage1_dsp48e1_i_10,2→4倍桥接量化;FIR1级,FIR1级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X11Y82/BLUT,board_demo_comp_LUT2_30;board_demo_comp_LUT2_31,,FIR1级,FIR1级
LUT218,SLICE_X11Y82/CLUT,board_demo_comp_LUT2_25,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT218,SLICE_X11Y83/ALUT,y_out[15]_i_1__0;y_out[16]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT218,SLICE_X11Y83/BLUT,y_out[17]_i_1__0;y_out[18]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT218,SLICE_X11Y83/CLUT,board_demo_comp_LUT2_26;board_demo_comp_LUT2_28,,FIR1级,FIR1级
LUT218,SLICE_X11Y83/DLUT,board_demo_comp_LUT5_5,,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X11Y84/ALUT,y_out[16]_i_1;y_out[17]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X11Y84/BLUT,y_out[18]_i_1;y_out[19]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X11Y84/CLUT,y_out[22]_i_1;y_out[23]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X11Y85/ALUT,dac_data_r[1]_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X11Y85/BLUT,dac_data_r[3]_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X11Y85/CLUT,dac_data_r[4]_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X11Y85/DLUT,board_demo_comp_LUT5_6,,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X11Y87/ALUT,board_demo_comp_LUT2_32;board_demo_comp_LUT2_35,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y87/BLUT,board_demo_comp_LUT5_23,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y88/ALUT,board_demo_comp_LUT2_22;board_demo_comp_LUT2_33,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y88/BLUT,board_demo_comp_LUT1_81;board_demo_comp_LUT2_34,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y88/CLUT,board_demo_comp_LUT3_12,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y81/DLUT,board_demo_comp_LUT1_29,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X12Y82/ALUT,board_demo_comp_LUT2_2,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X12Y82/BLUT,board_demo_comp_LUT2_3,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X12Y83/ALUT,board_demo_comp_LUT1_87;board_demo_comp_LUT2_27,,FIR1级,FIR1级
LUT218,SLICE_X12Y83/BLUT,board_demo_comp_LUT4_22,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X12Y83/CLUT,board_demo_comp_LUT4_23,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X12Y83/DLUT,board_demo_comp_LUT4_24,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X13Y76/ALUT,board_demo_comp_LUT5_14,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X13Y77/ALUT,board_demo_comp_LUT6_15,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X1Y80/ALUT,board_demo_comp_LUT6_1,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X1Y80/BLUT,board_demo_comp_LUT4_1,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X1Y80/CLUT,board_demo_comp_LUT4_27,,板级顶层控制,板级顶层控制
LUT218,SLICE_X1Y81/ALUT,board_demo_comp_LUT4_33,,板级顶层控制,板级顶层控制
LUT218,SLICE_X1Y81/BLUT,board_demo_comp_LUT6,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X1Y81/CLUT,board_demo_comp_LUT5_11,,板级顶层控制,板级顶层控制
LUT218,SLICE_X1Y82/ALUT,board_demo_comp_LUT6_11,,板级顶层控制,板级顶层控制
LUT218,SLICE_X1Y82/BLUT,board_demo_comp_LUT6_10,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X1Y82/CLUT,board_demo_comp_LUT2_5;board_demo_comp_LUT4_30,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X1Y83/BLUT,board_demo_comp_LUT3_1;board_demo_comp_LUT4_2,,按键与模式控制,按键与模式控制
LUT218,SLICE_X1Y83/CLUT,board_demo_comp_LUT6_2,,按键与模式控制,按键与模式控制
LUT218,SLICE_X1Y83/DLUT,board_demo_comp_LUT6_3,,按键与模式控制,按键与模式控制
LUT218,SLICE_X1Y84/ALUT,board_demo_comp_LUT1_76,,按键与模式控制,按键与模式控制
LUT218,SLICE_X1Y84/BLUT,board_demo_comp_LUT1_90;board_demo_comp_LUT2_17,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X1Y84/CLUT,board_demo_comp_LUT2_4;board_demo_comp_LUT4_34,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X1Y84/DLUT,board_demo_comp_LUT6_4,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X2Y81/ALUT,board_demo_comp_LUT4_29,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X2Y82/ALUT,board_demo_comp_LUT4_28,,板级顶层控制,板级顶层控制
LUT218,SLICE_X2Y83/ALUT,board_demo_comp_LUT3_2,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X2Y84/ALUT,ce_cnt[3]_i_1;ce_cnt[4]_i_1,2→4倍桥接量化;板级顶层控制,音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X2Y84/BLUT,gen_dac_clock_oddr.u_dac_clock_oddr_i_1,2→4倍桥接量化,音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X2Y84/CLUT,gen_dac_clock_oddr.u_dac_clock_oddr_i_2,2→4倍桥接量化,音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X2Y85/ALUT,board_demo_comp_LUT4,,按键与模式控制;板级顶层控制,外围跨模块共享逻辑
LUT218,SLICE_X2Y85/BLUT,board_demo_comp_LUT4_35;dac_data_r[7]_i_1,2→4倍桥接量化,按键与模式控制;板级顶层控制;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X2Y87/ALUT,transfer_pipe[1]_i_1;transfer_pipe[3]_i_4,2→4倍桥接量化,按键与模式控制,2→4倍桥接量化
LUT218,SLICE_X2Y87/BLUT,transfer_pipe[2]_i_1;transfer_pipe[3]_i_3,2→4倍桥接量化,按键与模式控制,2→4倍桥接量化
LUT218,SLICE_X3Y83/ALUT,board_demo_comp_LUT1_75,,按键与模式控制,按键与模式控制
LUT218,SLICE_X3Y83/BLUT,kr_drive_low[3]_i_3;scan_idx[1]_i_2,按键与模式控制,按键与模式控制;板级顶层控制,按键与模式控制
LUT218,SLICE_X3Y84/ALUT,board_demo_comp_LUT5_21,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X3Y84/BLUT,ce_cnt[5]_i_1;ce_cnt[6]_i_1,2→4倍桥接量化,音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X3Y84/CLUT,board_demo_comp_LUT6_6,,FIR2/3级,FIR2/3级
LUT218,SLICE_X3Y84/DLUT,board_demo_comp_LUT5_17,,测试音频ROM;音频公共封装/DAC,外围跨模块共享逻辑
LUT218,SLICE_X3Y85/ALUT,board_demo_comp_LUT3,,按键与模式控制,按键与模式控制
LUT218,SLICE_X3Y85/BLUT,board_demo_comp_LUT2_10,,FIR2/3级,FIR2/3级
LUT218,SLICE_X3Y86/ALUT,board_demo_comp_LUT1_71,,按键与模式控制,按键与模式控制
LUT218,SLICE_X3Y86/BLUT,board_demo_comp_LUT6_44,,按键与模式控制,按键与模式控制
LUT218,SLICE_X4Y81/ALUT,board_demo_comp_LUT5_1,,16倍CIC插值;板级顶层控制,核心—外围接口共享逻辑
LUT218,SLICE_X4Y82/ALUT,ce_cnt[1]_i_1;ce_cnt[2]_i_1,2→4倍桥接量化,音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X4Y82/BLUT,gen_primitive.u_stage23_history_ramb18e1_i_33;rom_word_q_reg_i_3,2→4倍桥接量化,2→4倍桥接量化;FIR1级;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X4Y82/CLUT,board_demo_comp_LUT1_2,,音频公共封装/DAC,音频公共封装/DAC
LUT218,SLICE_X4Y82/DLUT,board_demo_comp_LUT3_10,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X4Y83/ALUT,board_demo_comp_LUT1_96,,FIR2/3级,FIR2/3级
LUT218,SLICE_X4Y83/BLUT,job_mac_index[2]_i_1;u_unified_coeff_ramb18e1_i_9,2→4倍桥接量化;板级顶层控制,FIR2/3级;FIR共享系数存储,核心—外围接口共享逻辑
LUT218,SLICE_X4Y84/ALUT,job_history_head[3]_i_1;job_phase_i_2,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X4Y84/BLUT,job_mac_index[3]_i_3;u_unified_coeff_ramb18e1_i_8,2→4倍桥接量化;板级顶层控制,FIR2/3级;FIR共享系数存储,核心—外围接口共享逻辑
LUT218,SLICE_X4Y84/CLUT,board_demo_comp_LUT3_4;board_demo_comp_LUT3_6,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X4Y84/DLUT,board_demo_comp_LUT6_13,,FIR2/3级,FIR2/3级
LUT218,SLICE_X4Y85/ALUT,stage3_head[0]_i_1;stage3_head[1]_i_1,2→4倍桥接量化;板级顶层控制,FIR2/3级,核心—外围接口共享逻辑
LUT218,SLICE_X4Y85/BLUT,stage3_head[2]_i_1;stage3_head[3]_i_2,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X4Y85/CLUT,board_demo_comp_LUT5_29,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X4Y85/DLUT,board_demo_comp_LUT3_5,,FIR2/3级;板级顶层控制,核心—外围接口共享逻辑
LUT218,SLICE_X5Y81/ALUT,comb_active_i_1;comb_stage_index_i_1,16倍CIC插值,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT218,SLICE_X5Y82/ALUT,board_demo_comp_LUT1_83,,FIR2/3级,FIR2/3级
LUT218,SLICE_X5Y83/ALUT,gen_primitive.u_stage23_history_ramb18e1_i_32;job_mac_index[1]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X5Y83/BLUT,board_demo_comp_LUT6_7,,FIR2/3级,FIR2/3级
LUT218,SLICE_X5Y83/CLUT,board_demo_comp_LUT6_8,,FIR2/3级,FIR2/3级
LUT218,SLICE_X5Y83/DLUT,board_demo_comp_LUT5_10,,FIR2/3级,FIR2/3级
LUT218,SLICE_X5Y84/ALUT,job_history_head[1]_i_1;job_history_head[2]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X5Y84/BLUT,stage2_head[0]_i_1;stage2_head[1]_i_1,2→4倍桥接量化;板级顶层控制,FIR2/3级,核心—外围接口共享逻辑
LUT218,SLICE_X5Y84/CLUT,stage2_head[2]_i_1;stage2_head[3]_i_2,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X5Y84/DLUT,board_demo_comp_LUT6_23,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X5Y85/ALUT,board_demo_comp_LUT6_14,,FIR2/3级;板级顶层控制,核心—外围接口共享逻辑
LUT218,SLICE_X5Y85/BLUT,board_demo_comp_LUT2_19,,FIR2/3级;板级顶层控制,核心—外围接口共享逻辑
LUT218,SLICE_X5Y85/CLUT,board_demo_comp_LUT5_13;rom_word_q_reg_i_2,2→4倍桥接量化,16倍CIC插值;2→4倍桥接量化;FIR1级;FIR2/3级;按键与模式控制;板级顶层控制;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X5Y85/DLUT,board_demo_comp_LUT2_12,,2→4倍桥接量化;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y81/ALUT,burst_remaining[0]_i_1;burst_remaining[1]_i_1,板级顶层控制,16倍CIC插值,板级顶层控制
LUT218,SLICE_X6Y81/BLUT,burst_remaining[2]_i_1;burst_remaining[3]_i_2,板级顶层控制,16倍CIC插值,板级顶层控制
LUT218,SLICE_X6Y81/CLUT,board_demo_comp_LUT5;board_demo_comp_LUT5_2,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X6Y83/ALUT,job_history_full_i_1;job_history_head[0]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X6Y83/BLUT,board_demo_comp_LUT6_20,,FIR2/3级,FIR2/3级
LUT218,SLICE_X6Y83/CLUT,board_demo_comp_LUT6_21,,FIR2/3级,FIR2/3级
LUT218,SLICE_X6Y83/DLUT,board_demo_comp_LUT6_9,,FIR2/3级,FIR2/3级
LUT218,SLICE_X6Y84/ALUT,board_demo_comp_LUT6_19,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y84/BLUT,board_demo_comp_LUT6_18,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y84/CLUT,board_demo_comp_LUT3_11;board_demo_comp_LUT5_24,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y84/DLUT,board_demo_comp_LUT1_84;board_demo_comp_LUT5_25,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y85/ALUT,board_demo_comp_LUT3_8,,2→4倍桥接量化;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y85/BLUT,board_demo_comp_LUT5_22,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y85/CLUT,dac_data_r[7]_i_2,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X6Y85/DLUT,board_demo_comp_LUT2_24,,FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X6Y86/ALUT,board_demo_comp_LUT3_7,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X7Y84/ALUT,job_result_pending_i_1;u_stage23_dsp48e1_i_13,2→4倍桥接量化;FIR2/3级,FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X7Y84/BLUT,board_demo_comp_LUT2_18;board_demo_comp_LUT2_23,,FIR2/3级,FIR2/3级
LUT218,SLICE_X7Y84/CLUT,board_demo_comp_LUT2_20;board_demo_comp_LUT3_13,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X7Y84/DLUT,board_demo_comp_LUT2_21,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X7Y85/ALUT,job_output_pending_i_1;job_saturation_pending_i_1,FIR2/3级,FIR2/3级,FIR2/3级
LUT218,SLICE_X7Y85/BLUT,board_demo_comp_LUT5_12,,FIR2/3级,FIR2/3级
LUT218,SLICE_X7Y85/CLUT,board_demo_comp_LUT4_31;board_demo_comp_LUT4_36,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X7Y85/DLUT,board_demo_comp_LUT6_22,,FIR2/3级,FIR2/3级
LUT218,SLICE_X7Y86/ALUT,board_demo_comp_LUT6_25,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X7Y86/BLUT,board_demo_comp_LUT6_38,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X7Y86/CLUT,board_demo_comp_LUT6_39,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y74/ALUT,board_demo_comp_LUT5_16,,FIR1级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y74/BLUT,board_demo_comp_LUT4_32,,FIR1级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y76/ALUT,read_addr[0]_i_1;read_addr[1]_i_1,2→4倍桥接量化,FIR1级;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X8Y76/BLUT,read_addr[5]_i_2;scan_exhausted_i_4,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y76/CLUT,board_demo_comp_LUT5_15,,FIR1级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y76/DLUT,board_demo_comp_LUT6_17,,FIR1级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y77/ALUT,board_demo_comp_LUT2_29;board_demo_comp_LUT2_7,,FIR1级;板级顶层控制;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y78/ALUT,issue_active_i_2;issue_index[2]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y78/BLUT,issue_index[3]_i_1;issue_index[4]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y78/CLUT,board_demo_comp_LUT6_16,,FIR1级,FIR1级
LUT218,SLICE_X8Y78/DLUT,board_demo_comp_LUT2_16,,FIR1级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y79/ALUT,issue_index[0]_i_1;issue_index[1]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y80/ALUT,y_out[2]_i_1;y_out[3]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y80/BLUT,y_out[4]_i_1;y_out[5]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y80/CLUT,y_out[6]_i_1;y_out[7]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y80/DLUT,board_demo_comp_LUT3_3,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X8Y81/ALUT,y_out[0]_i_1;y_out[1]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y81/BLUT,y_out[10]_i_1;y_out[11]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y81/CLUT,y_out[8]_i_1;y_out[9]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y81/DLUT,board_demo_comp_LUT2_6,,FIR1级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y82/ALUT,board_demo_comp_LUT1_69,,FIR1级,FIR1级
LUT218,SLICE_X8Y82/BLUT,y_out[12]_i_1;y_out[13]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y82/CLUT,y_out[14]_i_1;y_out[15]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y82/DLUT,y_out[20]_i_1;y_out[21]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT218,SLICE_X8Y83/ALUT,board_demo_comp_LUT5_7,,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y84/ALUT,dac_data_r[1]_i_2;stage3_pending_compensated_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X8Y84/BLUT,board_demo_comp_LUT6_27,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y84/CLUT,board_demo_comp_LUT6_28,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y84/DLUT,board_demo_comp_LUT6_35,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y85/ALUT,board_demo_comp_LUT6_26,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y85/BLUT,board_demo_comp_LUT6_33,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y85/CLUT,board_demo_comp_LUT6_37,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y85/DLUT,board_demo_comp_LUT6_42,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y86/ALUT,gen_primitive.u_stage23_history_ramb18e1_i_34;gen_primitive.u_stage23_history_ramb18e1_i_35,2→4倍桥接量化,2→4倍桥接量化;FIR1级;FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X8Y86/BLUT,board_demo_comp_LUT6_40,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X8Y86/CLUT,dac_data_r[7]_i_3,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
